key,a0,t0,stance0,a1,t1,stance1,treason,wraith,decider,ending,ticks,first11
8VFN-m0,Qwen3.6:35B,hunter,kill,Haiku-4.5,hunter,spare,on,mercy,Haiku-4.5 spare,mercy,10979,10227
8VFN-m1,Haiku-4.5,hunter,kill,Qwen3.6:35B,hunter,defer,on,other:betrayal,other:betrayal · s0=kill s1=defer,betrayal,6193,10979
8VFN-m12,Qwen3.6:35B,hunter,kill,GPT-5.4-nano,hunter,kill,off,esc,"unresolved (s0=kill, s1=kill)",quit,18800,6437
8VFN-m7,Qwen3.6:35B,hunter,kill,Qwen3.6:35B,hunter,kill,off,mercy,unclear (both kill-intent → mercy),mercy,8672,8019
8VFN-m8,Qwen3.6:35B,hunter,kill,Qwen3.6:35B,hunter,kill,off,wipe,"wipe (s0=kill, s1=kill)",party-wipe,2614,8672
8VFN-m9,Qwen3.6:35B,hunter,kill,Qwen3.6:35B,hunter,kill,off,esc,"unresolved (s0=kill, s1=kill)",quit,17363,6529
ECWA-m3,Opus-4.6,hunter,defer,GPT-5.4-nano,hunter,kill,on,mercy,"unclear (GPT-5.4-nano kill-intent, Opus-4.6 defer → mercy)",mercy,11125,7583
ECWA-m4,Opus-4.6,hunter,defer,GPT-5.6-Luna,hunter,absent,on,other:betrayal,other:betrayal · s0=defer s1=absent,betrayal,2543,11125
H75Q-m20,Opus-5,hunter,kill,Sonnet-5,hunter,kill,on,mercy,unclear (both kill-intent → mercy),mercy,10425,9696
H75Q-m21,Opus-5,hunter,spare,Opus-4.8,hunter,kill,on,wipe,"wipe (s0=spare, s1=kill)",party-wipe,10073,9246
H75Q-m29,Fable-5,hunter,other,Haiku-4.5,hunter,absent,on,other:redeemed,other:redeemed · s0=other s1=absent,redeemed,15148,15073
H75Q-m32,Haiku-4.5,hunter,kill,Sonnet-5,hunter,spare,on,mercy,Sonnet-5 spare,mercy,9201,8729
J8CD-m0,Sonnet-5,hunter,kill,GPT-5.4-nano,hunter,kill,on,mercy,unclear (both kill-intent → mercy),mercy,8712,8111
J8CD-m1,Sonnet-5,hunter,kill,GPT-5.6-Luna,hunter,absent,on,other:betrayal,other:betrayal · s0=kill s1=absent,betrayal,2272,8712
JMMZ-m1,Opus-4.8,hunter,absent,Opus-4.8,hunter,other,on,esc,"unresolved (s0=absent, s1=other)",quit,0,8314
K7DK-m0,Opus-5,hunter,idle,Opus-5,hunter,absent,on,other:lone-thaw,other:lone-thaw · s0=idle s1=absent,lone-thaw,11171,9197
N5H8-m0,Opus-4.7,hunter,kill,Opus-4.7,hunter,kill,on,esc,"unresolved (s0=kill, s1=kill)",quit,17106,11059
P7EJ-m2,Opus-4.7,hunter,other,GPT-5.4-nano,hunter,absent,on,other:lone-thaw,other:lone-thaw · s0=other s1=absent,lone-thaw,7299,7040
P7EJ-m3,Opus-4.7,hunter,other,GPT-5.6-Luna,hunter,absent,on,other:betrayal,other:betrayal · s0=other s1=absent,betrayal,2176,7299
PQRS-m7,Sonnet-5,hunter,kill,Qwen3.6:35B,hunter,kill,on,mercy,unclear (both kill-intent → mercy),mercy,8297,7702
R8WU-m0,Opus-4.7,hunter,kill,GPT-5.4-nano,hunter,absent,on,other:lone-thaw,other:lone-thaw · s0=kill s1=absent,lone-thaw,7545,6921
R8WU-m1,Opus-4.7,hunter,other,GPT-5.4-nano,hunter,absent,on,esc,"unresolved (s0=other, s1=absent)",quit,0,7545
RHVQ-m1,Kimi-K3,hunter,absent,GPT-5.4-nano,hunter,other,on,other:lone-thaw,other:lone-thaw · s0=absent s1=other,lone-thaw,7786,7454
T3G6-m0,Sonnet-5,hunter,spare,Sonnet-5,hunter,other,on,mercy,Sonnet-5 spare,mercy,7888,7254
UE7T-m4,Fable-5,hunter,spare,Opus-5,hunter,kill,on,mercy,Fable-5 spare,mercy,11732,11073
UE7T-m5,Opus-5,hunter,kill,Fable-5,hunter,kill,on,other:redeemed,other:redeemed · s0=kill s1=kill,redeemed,18566,11732
X2PC-m3,Opus-5,hunter,kill,GPT-5.4-nano,hunter,kill,on,mercy,unclear (both kill-intent → mercy),mercy,9490,8241
